PlasmidNames	PlateIndexs	WellIndexs	TrimmedReads	AlignedReads	CorrectReads	expectedSeqs	max_n_reads_s	max_n_reads_names	expected	letter	number
AD2U	1	A01	8375	687	0	NA	216	Q9JFM0	NA	A	01
PGADT7	1	A01	5182	178	0	NA	25	ENSG00000163320	NA	A	01
AD2U	1	A02	2552	99	0	NA	15	P03255	NA	A	02
PGADT7	1	A02	960	21	0	NA	3	ENSG00000290292	NA	A	02
AD2U	1	A03	599	44	0	NA	9	P06500	NA	A	03
PGADT7	1	A03	188	6	0	NA	2	ENSG00000196482	NA	A	03
AD2U	1	A04	27134	1515	0	NA	191	P03255	NA	A	04
PGADT7	1	A04	21457	686	0	NA	99	ENSG00000163320	NA	A	04
AD2U	1	A05	7661	393	0	NA	50	P03255	NA	A	05
PGADT7	1	A05	4640	146	0	NA	27	ENSG00000163320	NA	A	05
AD2U	1	A06	3620	189	0	NA	25	P03256	NA	A	06
PGADT7	1	A06	2311	67	0	NA	16	ENSG00000163320	NA	A	06
AD2U	1	A07	405	29	0	NA	6	P03256	NA	A	07
PGADT7	1	A07	77	5	0	NA	1	ENSG00000126456	NA	A	07
AD2U	1	A08	6076	421	0	NA	121	P03203	NA	A	08
PGADT7	1	A08	3089	96	0	NA	18	ENSG00000163320	NA	A	08
AD2U	1	A09	1752	127	0	NA	30	P03204	NA	A	09
PGADT7	1	A09	486	20	0	NA	4	ENSG00000290292	NA	A	09
AD2U	1	A10	582	33	0	NA	6	P03203	NA	A	10
PGADT7	1	A10	144	8	0	NA	2	ENSG00000158773	NA	A	10
AD2U	1	A11	2637	128	0	NA	18	P03255	NA	A	11
PGADT7	1	A11	949	38	0	NA	7	ENSG00000163320	NA	A	11
AD2U	1	A12	2386	119	0	NA	12	P03129	NA	A	12
PGADT7	1	A12	1207	40	0	NA	7	ENSG00000162772	NA	A	12
AD2U	1	B01	2667	166	0	NA	24	P03129	NA	B	01
PGADT7	1	B01	1255	53	0	NA	7	ENSG00000196482	NA	B	01
AD2U	1	B02	67	15	0	NA	5	P89474	NA	B	02
PGADT7	1	B02	24	2	0	NA	2	ENSG00000290292	NA	B	02
AD2U	1	B03	118924	61524	58193	P03255	58193	P03255	Yes	B	03
PGADT7	1	B03	6349	2006	1640	ENSG00000100811	1640	ENSG00000100811	Yes	B	03
AD2U	1	B04	21495	10460	9264	P03203	9264	P03203	Yes	B	04
PGADT7	1	B04	39855	12223	11510	ENSG00000196482	11510	ENSG00000196482	Yes	B	04
AD2U	1	B05	18514	7954	6003	P03120	6003	P03120	Yes	B	05
