ID	Uniprot
ZNF197	O14709
CCNT2	O60583
RNGTT	O60942
ZNF19	P17023
MYF6	P23409
ETV6	P41212
TERF1	P54274
RELB	Q01201
NR1H3	Q13133
SRSF9	Q13242
SNAPC2	Q13487
ZNF677	Q86XU0
ZNF610	Q8N9Z0
SETD7	Q8WTS6
ZNF75A	Q96N20
PHOX2B	Q99453
TCF7L1	Q9HCS4
DNMT3B	Q9UBC3
MYRF	Q9Y2G1
SUPT16H	Q9Y5B9
NFIB	O00712
PGR	P06401
NR4A1	P22736
SOX8	P57073
ZXDB	P98169
FLI1	Q01543
CC2D1A	Q6P1N0
ZNF600	Q6ZNG1
TRIM22	Q8IYM9
OSR2	Q8N2R0
PIAS4	Q8N2W9
ZNF114	Q8NC26
ZNF563	Q8TA94
ZNF473	Q8WTR7
LEO1	Q8WVC0
PBXIP1	Q96AQ6
CREB3L1	Q96BA8
EBF1	Q9UH73
AFF4	Q9UHB7
BDP1	A6H8Y1
OVOL3	O00110
FOXN3	O00409
ZBTB7B	O15156
CREB3	O43889
RB1	P06400
NELFE	P18615
ETV1	P50549
HHEX	Q03014
ZNF92	Q03936
CUL4A	Q13619
ZKSCAN8	Q15776
SMAD2	Q15796
ZNF239	Q16600
PALB2	Q86YC2
SIX5	Q8N196
GATAD2B	Q8WXI9
KAT2B	Q92831
BRD9	Q9H8M2
DACH1	Q9UI36
GCM2	O75603
ONECUT2	O95948
TCF4	P15884
ZNF10	P21506
TEAD1	P28347
SMARCA4	P51532
ZNF157	P51786
CSE1L	P55060
SRPK2	P78362
MEF2A	Q02078
SAFB	Q15424
CRY1	Q16526
ZNF528	Q3MIS6
NKX2-3	Q8TAU0
CREB3L4	Q8TEY5
MAML1	Q92585
ZNF512	Q96ME7
PADI2	Q9Y2J8
GMEB1	Q9Y692
MAFG	O15525
MAF	O75444
E2F6	O75461
RARB	P10826
SRSF3	P84103
U2AF1	Q01081
DRAP1	Q14919
NCOA2	Q15596
ZXDC	Q2QGD7
HES5	Q5TA89
LIN9	Q5TKA1
HNRNPLL	Q8WVV9
ZNF830	Q96NB3
LMTK3	Q96Q04
SIN3A	Q96ST3
CBX8	Q9HC52
BRD7	Q9NPI1
TCF7L2	Q9NQB0
GRHL1	Q9NZI5
TBX1	O43435
SMARCA5	O60264
AMH	P03971
NR2C1	P13056
HOXB4	P17483
ZNF76	P36508
PBX3	P40426
SMAD3	P84022
ID2	Q02363
NFATC2	Q13469
KLF9	Q13886
E2F4	Q16254
FEV	Q99581
ZNF692	Q9BU19
ZNF426	Q9BUY5
STN1	Q9H668
KAT8	Q9H7Z6
BATF3	Q9NR55
HESX1	Q9UBX0
ZEB2	O60315
GLI2	P10070
HOXB1	P14653
HOXA9	P31269
OTX2	P32243
ZNF140	P52738
RUNX1T1	Q06455
PAX8	Q06710
ZNF146	Q15072
TERF2	Q15554
SNAPC4	Q5SXM2
ZBTB2	Q8N680
SUPT20H	Q8NEM7
MED12	Q93074
MXD3	Q9BW11
ZNF395	Q9H8N7
CXXC1	Q9P0U4
HDAC9	Q9UKV0
BRPF3	Q9ULD4
ZSCAN21	Q9Y5A6
LMX1B	O60663
KLF7	O75840
HEXIM1	O94992
MYCN	P04198
NR2F6	P10588
ZNF18	P17022
NFKBIA	P25963
RBL1	P28749
NUP107	P57740
SP4	Q02446
PRKCQ	Q04759
SMAD1	Q15797
TAFAZZIN	Q16635
ZNF626	Q68DY1
FOXP1	Q9H334
NELFA	Q9H3P2
SOX17	Q9H6I2
DROSHA	Q9NRR4
MBD2	Q9UBB5
ZNF391	Q9UJN7
PLRG1	O43660
THRB	P10828
ATF2	P15336
GATA3	P23771
HOXA7	P31268
MSX2	P35548
RFX5	P48382
ZNF83	P51522
IKZF1	Q13422
KLF17	Q5JT82
NIPBL	Q6KC79
ZFP1	Q6P2D0
ZSCAN2	Q7Z7L9
ZNF444	Q8N0Y2
MIER1	Q8N108
ZNF622	Q969S3
MTA3	Q9BTC8
SCRT1	Q9BWW7
GLIS2	Q9BZE0
ZNF768	Q9H5H4
MSC	O60682
ZBED4	O75132
JUND	P17535
POU3F2	P20265
HOXA5	P20719
USF1	P22415
PBX1	P40424
STAT6	P42226
TBPL1	P62380
SOX4	Q06945
NFIA	Q12857
SMAD4	Q13485
ZNF518A	Q6AHZ1
DPPA3	Q6W0C5
ZFP41	Q8N8Y5
STAG1	Q8WVM7
FOXQ1	Q9C009
TGIF2	Q9GZN2
ZNF623	O75123
CBX7	O95931
POU2F1	P14859
XBP1	P17861
NFYA	P23511
FOSB	P53539
E2F1	Q01094
MLLT1	Q03111
DYRK1A	Q13627
CBX2	Q14781
LARP7	Q4G0J3
JMJD6	Q6NYC1
ATF7IP	Q6VMQ6
L3MBTL2	Q969R5
RNF2	Q99496
ALX4	Q9H161
IKZF5	Q9H5V7
ZNF701	Q9NV72
ZNF257	Q9Y2Q1
NEUROG3	Q9Y4Z2
ZSCAN5B	A6NJL1
ZC3H11A	O75152
GATA1	P15976
HMGB2	P26583
SOX11	P35716
SREBF1	P36956
GABPA	Q06546
NR5A1	Q13285
ZNF574	Q6ZN55
ZNF584	Q8IVC4
ESR2	Q92731
DDX11	Q96FC9
ZFP3	Q96NJ6
MIXL1	Q9H2W2
ZNF644	Q9H582
ZNF624	Q9P2J8
ZNF629	Q9UEG4
ATF5	Q9Y2D1
THRAP3	Q9Y2W1
ZNF292	O60281
SYNCRIP	O60506
ZNF35	P13682
ZNF37A	P17032
SON	P18583
CBX5	P45973
DLX1	P56177
FOXK1	P85037
PAX5	Q02548
IRF8	Q02556
TLE3	Q04726
FOXO1	Q12778
ZNF585B	Q52M93
ZNF467	Q7Z7K2
CASZ1	Q86V15
MBD3L2	Q8NHZ7
ARID3A	Q99856
DDX21	Q9NR30
EHF	Q9NZC4
ZNF148	Q9UQR1
MUC22	E2RYF6
CHD2	O14647
XRCC3	O43542
PRDM1	O75626
F10	P00742
ATF3	P18847
STAT3	P40763
ZNF134	P52741
RBPJ	Q06330
CBX3	Q13185
MEF2D	Q14814
NEUROD2	Q15784
ZNF704	Q6ZNC4
ZNF837	Q96EG3
CRAMP1	Q96RY5
PSMD1	Q99460
NEUROG2	Q9H2A3
KDM5B	Q9UGL1
TBXT	O15178
EED	O75530
MYBL2	P10244
TUBG1	P23258
PML	P29590
SP2	Q02086
RUNX3	Q13761
ZMYM3	Q14202
PCBP2	Q15366
EZH2	Q15910
MAPK14	Q16539
SMARCC1	Q92922
E2F7	Q96AV8
RBM17	Q96I25
ZNF597	Q96LX8
HOXD1	Q9GZZ0
TDRD3	Q9H7E2
AGO2	Q9UKV8
KMT2B	Q9UMN6
RUVBL1	Q9Y265
TET3	O43151
TCF21	O43680
MYC	P01106
PTBP1	P26599
MSX1	P28360
ZEB1	P37275
GTF2A2	P52657
ZBTB16	Q05516
OLIG2	Q13516
RBBP5	Q15291
GLIS3	Q8NEA6
ZNF558	Q96NG5
TCF12	Q99081
FANCD2	Q9BXW9
BACH2	Q9BYV9
THAP1	Q9NVV9
RCOR1	Q9UKL0
ELF5	Q9UKW6
ARID1A	O14497
APP	P05067
UCHL1	P09936
FGFR1	P11362
SPIB	Q01892
GUCY1B1	Q02153
VEZF1	Q14119
ATXN7L3	Q14CW9
SETX	Q7Z333
RCOR2	Q8IZ40
RYBP	Q8N488
ZFP28	Q8NHY6
BAP1	Q92560
THAP11	Q96EK4
NKX3-1	Q99801
PRDM5	Q9NQX1
CHD7	Q9P2D1
ZHX1	Q9UKY1
FOXA2	Q9Y261
MYOG	P15173
ZNF250	P15622
ETV4	P43268
CDK8	P49336
SUMO2	P61956
ERCC6	Q03468
CEBPZ	Q03701
MEF2C	Q06413
E2F5	Q15329
NFE2L2	Q16236
ZNF791	Q3KP31
ZNF362	Q5T0B9
ZNF592	Q92610
GTF3A	Q92664
PHF21A	Q96BD5
ZNF669	Q96BR6
INSM2	Q96T92
PRDM12	Q9H4Q4
LEF1	Q9UJU2
CBFA2T2	O43439
MED26	O95402
MYB	P10242
LYL1	P12980
ZFX	P17010
SFPQ	P23246
STAT5B	P51692
DBP	Q10586
ZNF774	Q6NX45
PHF5A	Q7RTV0
BCL6B	Q8N143
ZNF784	Q8NCA9
JDP2	Q8WYK2
ISL2	Q96A47
GFI1	Q99684
SIGMAR1	Q99720
PATZ1	Q9HBE1
PPARGC1A	Q9UBK2
ZNF282	Q9UDV7
CPSF3	Q9UKF6
NKX2-8	O15522
PRPF4	O43172
EOMES	O95936
FOS	P01100
HIVEP1	P15822
ATF7	P17544
BCL3	P20749
HOXA13	P31271
ZNF143	P52747
HNRNPK	P61978
UBE2I	P63279
HIVEP3	Q5T1R4
ZNF697	Q5TEC3
ZNF746	Q6NUN9
BAHD1	Q8TBE0
KLF14	Q8TD94
TAF9B	Q9HBM6
CHD8	Q9HCK8
SCRT2	Q9NQ03
ZBTB21	Q9ULJ3
FOXD2	O60548
MITF	O75030
CAT	P04040
NR1D1	P20393
ZNF165	P49910
FXR1	P51114
STAT2	P52630
YBX1	P67809
PPARA	Q07869
TARDBP	Q13148
SUZ12	Q15022
ZGPAT	Q8N5A5
TET1	Q8NFU7
SMARCC2	Q8TAQ2
ZIM3	Q96PE6
SIRT7	Q9NRC8
LHX3	Q9UBR4
SALL4	Q9UJQ4
NCOR2	Q9Y618
BHLHE40	O14503
PITX3	O75364
SNRNP70	P08621
EGR2	P11161
TLX1	P31314
SOX6	P35712
STAT5A	P42229
LHX2	P50458
WDR5	P61964
TFCP2	Q12800
HLF	Q16534
ZNF766	Q5HY98
ZNF318	Q5VUA4
ZNF595	Q8IYB9
ZNF664	Q8N3J9
ZNF747	Q9BV97
BARX1	Q9HBU1
LHX9	Q9NQ69
NOTCH3	Q9UM47
HDGFL3	Q9Y3E1
ZNF195	O14628
TBX3	O15119
TRIM24	O15164
SAP30	O75446
HNRNPL	P14866
TAL1	P17542
ADCYAP1	P18509
NME2	P22392
ARNT	P27540
GATA4	P43694
MXI1	P50539
REL	Q04864
EN1	Q05925
KDM3B	Q7LBC6
ZNF687	Q8N1G0
ZNF555	Q8NEP9
ZNF335	Q9H4Z2
RERE	Q9P2R6
ZMIZ1	Q9ULJ6
ETV7	Q9Y603
KLF8	O95600
ZBTB48	P10074
ZKSCAN1	P17029
HOXA6	P31267
RBM34	P42696
CDH4	P55283
LAMB3	Q13751
NFIL3	Q16649
ARID4B	Q4LE39
INTS11	Q5TA45
L3MBTL4	Q8NA19
AUTS2	Q8WXX7
HMCES	Q96FZ2
CDX2	Q99626
ZNF416	Q9BWM5
MBD1	Q9UIS9
MAFF	Q9ULX9
IGLV5-37	A0A075B6J1
FOXO3	O43524
ERCC3	P19447
STAT1	P42224
CEBPA	P49715
NR0B1	P51843
NR1H2	P55055
SOX10	P56693
SRSF7	Q16629
FOXR2	Q6PJQ5
NFXL1	Q6ZNB6
ZNF493	Q6ZR52
ZNF511	Q8NB15
ZNF488	Q96MN9
CIC	Q96RK0
EPAS1	Q99814
DIDO1	Q9BTC0
ZNF223	Q9UK11
HES2	Q9Y543
ELL2	O00472
ZNF207	O43670
ZNF8	P17098
RXRA	P19793
PKNOX1	P55347
ZNF816	Q0VGE8
XRCC4	Q13426
RBM39	Q14498
PCBP1	Q15365
ZNF260	Q3ZCT1
ZNF449	Q6P9G9
ZC3H8	Q8N5P1
ZNF596	Q8TC21
USP7	Q93009
ZBTB8A	Q96BR9
ATOH8	Q96SQ7
MAP1LC3B	Q9GZQ8
ARNT2	Q9HBZ2
ZNF112	Q9UJU3
NFE2L3	Q9Y4A8
ARNTL	O00327
PSIP1	O75475
NKX2-2	O95096
ZIC2	O95409
SKI	P12755
IRF2	P14316
GTF2F1	P35269
CASP3	P42574
KLF1	Q13351
HMGN3	Q15651
HDGFL2	Q7Z4V5
STAG2	Q8N3U4
SIRT6	Q8N6T7
KAT2A	Q92830
BRF1	Q92994
MPHOSPH8	Q99549
MNT	Q99583
ZFHX2	Q9C0A1
LHX6	Q9UPM6
SMC3	Q9UQE7
FOXE1	O00358
E2F3	O00716
ZBTB39	O15060
LAMTOR5	O43504
MAFK	O60675
PIAS1	O75925
HBZ	P02008
HOXC6	P09630
BRCA1	P38398
RELA	Q04206
SQSTM1	Q13501
ZNF266	Q14584
NRF1	Q16656
ZNF501	Q96CX3
ZNF560	Q96MR9
ASCL2	Q99929
PYGO2	Q9BRQ0
KDM4C	Q9H3R0
BRF2	Q9HAW0
TBX21	Q9UL17
HOXA2	O43364
CREBL2	O60519
CNOT3	O75175
GLI4	P10075
ERG	P11308
RAG2	P55895
HSF2	Q03933
TBX2	Q13207
NONO	Q15233
SS18	Q15532
ZBTB6	Q15916
RFX7	Q2KHR2
ZNF311	Q5JNZ3
ZNF618	Q5T7W0
PLAG1	Q6DJT9
TET2	Q6N021
KDM1B	Q8NB78
MCRS1	Q96EZ8
ZNF341	Q9BYN7
PHF8	Q9UPP1
GLI1	P08151
SKIL	P12757
DNMT1	P26358
ZFP36	P26651
MZF1	P28698
RXRB	P28702
HNF4A	P41235
KLF3	P57682
CRTC2	Q53ET0
ZNF589	Q86UQ0
ZNF410	Q86VK4
ZNF843	Q8N446
CREBBP	Q92793
UPF1	Q92900
CDC5L	Q99459
IRX2	Q9BZI1
BCL11B	Q9C0K0
BICRA	Q9NZM4
BARX2	Q9UMQ3
ZNF175	Q9Y473
SNAI2	O43623
ZBTB14	O43829
ZNF202	O95125
CREB1	P16220
LMNB1	P20700
ZNF211	Q13398
ME3	Q16798
ZNF404	Q494X3
AEBP2	Q6ZN18
SUPT6H	Q7KZ85
EMSY	Q7Z589
MIER2	Q8N344
TFAP2C	Q92754
ZNF382	Q96SR6
ZNF577	Q9BSK1
NANOG	Q9H9S0
ARHGAP35	Q9NRY4
RBAK	Q9NYW8
DDX20	Q9UHI6
SIN3B	O75182
FOSL1	P15407
ELK1	P19419
GATA2	P23769
APC	P25054
MCM5	P33992
PPARG	P37231
CDKN1B	P46527
NUP153	P49790
PITX1	P78337
KLF10	Q13118
ERCC8	Q13216
IRF5	Q13568
SAFB2	Q14151
WRN	Q14191
DMC1	Q14565
ESCO2	Q56NI9
CGAS	Q8N884
ZNF680	Q8NEM1
ALKBH3	Q96Q83
HOXC11	O43248
ZNF205	O95201
EGR1	P18146
TBP	P20226
HIRA	P54198
CTBP2	P56545
KMT2A	Q03164
NCOA6	Q14686
TAF12	Q16514
ZNF776	Q68DI1
CAVIN1	Q6NZI2
FIP1L1	Q6UN15
ZNF571	Q7Z3V5
PRDM14	Q9GZV8
GZF1	Q9H116
ADNP	Q9H2P0
MLX	Q9UH92
KDM2A	Q9Y2K7
DMRT2	Q9Y5R5
THRA	P10827
TFE3	P19532
U2AF2	P26368
CCND2	P30279
CDK7	P50613
SMARCA2	P51531
SMARCB1	Q12824
CTBP1	Q13363
HDAC1	Q13547
TEAD2	Q15562
SMN2	Q16637
SMN1	Q16637
E4F1	Q66K89
TSHZ1	Q6ZSZ6
PHF6	Q8IWS0
RBM14	Q96PK6
TBL1XR1	Q9BZK7
HES4	Q9HCC6
ASH1L	Q9NR48
DUX4	Q9UBX2
ZSCAN9	O15535
BRD4	O60885
DDX5	P17844
SOX9	P48436
ZNF132	P52740
ZFP36L1	Q07352
FOXF1	Q12946
CHAF1B	Q13112
ILK	Q13418
NCOA4	Q13772
TFDP1	Q14186
E2F2	Q14209
THAP4	Q8WY91
INTS12	Q96CB8
SMAD5	Q99717
MYNN	Q9NPC7
SIX4	Q9UIU6
ZFP69B	Q9UJL9
DNMT3A	Q9Y6K1
ZHX2	Q9Y6X8
RFXANK	O14593
TP73	O15350
XRCC5	P13010
YBX3	P16989
ATF1	P18846
NR2F2	P24468
PSMB5	P28074
HOXC8	P31273
SOX3	P41225
RORC	P51449
PPARD	Q03181
IRF4	Q15306
ZNF384	Q8TF68
PCGF1	Q9BSM1
HMG20A	Q9NP66
FOXD3	Q9UJU5
KLF12	Q9Y4X4
PRMT5	O14744
ZNF217	O75362
PTTG1	O95997
MYBL1	P10243
HOXB2	P14652
PAX3	P23760
MNX1	P50219
MEOX2	P50222
MAZ	P56270
HAND2	P61296
FOXF2	Q12947
REST	Q13127
ZNF322	Q6U7Q0
PAF1	Q8N7H5
GATAD1	Q8WUU5
DCP1A	Q9NPI6
FOXJ2	Q9P0K8
ZBTB4	Q9P1Z0
USP22	Q9UPT9
BCHE	P06276
ZNF26	P17031
HOXD9	P28356
ID1	P41134
ME1	P48163
COPS2	P61201
GTF2B	Q00403
UBE3A	Q05086
TP53BP1	Q12888
ILF3	Q12906
EBP	Q15125
WAPL	Q7Z5K2
CTCFL	Q8NI51
HSD17B8	Q92506
LHX5	Q9H2C1
SALL1	Q9NSC2
INTS13	Q9NVM9
