Bladder	Blood	Bone_Marrow	Eye	Fat	Heart	Large_Intestine	Liver	Lung	Lymph_Node	Mammary	Muscle	Pancreas	Prostate	Salivary_Gland	Skin	Small_Intestine	Spleen	Thymus	Tongue	Trachea	Uterus	Vasculature
MAX	2748.8338220095	8450.31571048291	1445.49488098145	355.445943093789	1762.32852445689	983.991771279807	1921.59163754291	148.840688592985	3364.49327724807	11185.4927157964	1761.26470767782	4588.59432169599	991.692474246912	2292.52572071463	3649.16467067603	2147.60857609899	1282.40517926287	6112.34618577021	5523.08525344254	498.920816771844	956.436232868425	869.748066423493	1167.38741468559
NR1H3	852.350691256302	302.224988476364	20.0069167850932	36.0960356531099	1137.56608303505	242.007854220083	150.232746757672	64.494455888111	844.930034129213	376.223320285453	255.787718602802	1155.25421004998	172.399536820924	507.799213465226	540.574476835534	176.852794800717	34.2849078677122	525.306983377572	554.517805671006	56.4770336388514	94.678888100155	112.085084213578	311.704460860788
PIN1	3112.74706070772	4983.88753769488	310.438874597843	273.649188439093	1756.87751383769	2835.149355893	869.634019304697	125.16512650667	4238.17664737933	6517.63720045557	1056.83596489565	2642.59182694658	1067.62122278094	2458.62503877619	2437.92067336828	717.22141284073	672.925310377912	3841.36781152239	3213.83624757288	408.879251242917	988.53532816806	654.857927304352	1523.10033704664
GATA1	78.2410376343003	86.0982018702848	55.3365445950844	0	0	0	3.74415016277885	0.98955815675316	138.617416282795	12.4288126336637	0.923246755687937	1.22338028068343	0	3.35320388840144	0	245.277616585482	6.11458986142424	10.6116423151129	6.95994140866158	0	6.00321091869297	0	8.82828196636577
RELA	2235.79521269572	3673.76325948114	399.484438416756	223.602309529539	1487.31490772507	1019.15033479138	1595.5709413657	97.8765116637631	2490.57833503707	4883.86625094049	2165.6611580868	3127.46233599851	926.187777690515	1334.31899717511	1761.75139405379	1807.66416570514	959.399401920644	3280.75361144385	2805.67498756702	283.080275837703	860.079170695948	1029.08986725498	858.507510837384
SAFB	2818.57073474671	5715.87947956374	907.313070382087	423.792898440803	1923.41540662823	1076.96946756287	1734.97724407673	113.835192871201	2634.29802238519	9880.21734940799	1465.56877104497	4076.9730180428	965.024189836322	1832.29688325115	3437.27186091781	1540.70366552773	990.262837638743	5302.98456729742	4281.09185409211	460.895085369957	1046.00897296462	706.864572275206	958.693921017246
RARG	518.325043933302	240.455834890044	22.2569699099255	126.195254433169	447.434999803855	235.029622466588	106.777703439584	29.2590538931194	406.796596414848	659.191670571344	134.979537902669	508.082974144481	170.156512791037	329.929668776178	363.479457837231	144.003626258229	34.7655788661372	211.317912348162	432.098324431544	101.465341336244	323.158510761559	115.634872293746	179.608834492557
SMAD5	1766.8849889739	3049.11774478334	282.200362744931	245.185658638987	2159.94453677525	2129.02977636369	781.113132719692	133.977833363952	3333.52287719326	4819.44671467842	1482.19187277477	5867.915536256	1216.32887885623	1954.68089553692	2656.68424531507	937.642515933957	479.187335324224	2205.6129681885	2778.33277393835	264.738509802644	1450.38724219673	635.827009547542	1276.17048034443
TP53	943.243096577007	1724.66344234114	130.57253205436	125.740944777957	684.604519023974	552.762469639624	257.608371226277	103.163147372469	1676.08330783336	4113.24431654063	490.07201399759	1351.84668328302	526.249300622202	805.645153851637	1335.98464794389	349.462075291709	230.920353485083	1728.85240233182	1934.84423340563	181.01031577332	761.968127143676	297.251912552031	533.568226109607
PPARD	989.702781104476	549.646824137817	67.7394021048689	106.968793675821	388.484318169202	215.658965662055	178.229006574156	70.4530445081555	819.569729852571	1336.72894384175	295.743686686148	1136.69815112041	269.507968606626	290.918221863434	575.683929177275	519.052169647899	103.015521312051	669.892954104364	832.898274062998	92.8200556236408	207.705833461784	200.93270221592	247.160380252639
ZNF24	2995.25846886251	6439.07032415042	723.071430821677	351.394638322984	2229.99137844136	1104.19400026321	1693.67622351738	156.853124168305	4029.69313078391	11843.8320411557	2092.61549341685	4722.71421534974	1356.37324654388	2578.38380724329	4365.37864314475	1527.98996664441	1080.34924259303	5295.31991561857	5149.2868381481	481.348190293385	1175.67480677536	954.522907399201	1146.60775606438
GATAD2A	1692.37608753244	6484.09196896613	1183.57052425162	360.869072237272	1396.32046869011	822.22136768993	1560.66682330538	129.736830714213	2372.6989285511	6242.03165725674	838.682322902776	3825.42642234989	881.387598522906	987.159825797325	2064.91097242614	1420.46345062567	870.636783649929	4957.03583682705	3730.70615301484	331.927935251242	988.155220125645	728.806127527616	788.312209667181
